collision_index,casualty_reference,casualty_class,casualty_severity,sex_of_casualty,age_band_of_casualty
554,1,1,3,2,6
555,1,1,3,1,7
556,2,2,3,1,5
557,1,1,3,1,7
558,1,1,3,1,7
559,1,1,3,1,6
560,1,3,3,2,4
561,1,1,2,1,6
562,1,1,3,2,6
563,1,3,3,2,7
564,2,3,3,-1,1
565,1,3,3,2,5
566,1,1,3,1,6
567,1,1,3,1,6
568,1,3,3,1,11
569,1,3,2,2,6
570,1,1,3,1,6
571,1,1,3,1,7
572,1,3,3,2,6
573,1,1,3,1,4
574,1,1,3,1,10
575,1,1,3,2,7
576,1,3,3,1,8
577,1,1,3,1,7
578,1,1,3,1,7
579,1,1,3,1,6
580,1,1,3,1,4
581,1,1,3,1,9
582,1,1,3,1,7
583,1,3,3,1,9
584,1,1,3,1,6
585,1,1,3,1,7
586,1,1,3,1,7
587,1,3,3,2,3
588,1,1,3,1,5
589,1,3,3,2,6
590,1,3,2,2,10
591,1,2,3,2,2
592,1,1,3,1,7
593,1,3,3,1,8
594,1,3,3,1,5
595,1,1,3,2,7
596,2,1,3,1,5
597,1,1,3,1,6
598,1,1,3,1,5
599,1,1,3,2,7
600,1,3,2,2,5
601,1,3,3,2,9
602,1,3,3,1,7
603,1,2,3,1,4
604,1,1,3,2,5
605,2,1,3,1,7
606,1,1,3,1,4
607,1,1,3,2,6
608,2,2,3,-1,-1
609,3,2,3,-1,-1
610,4,2,3,-1,-1
611,5,2,3,-1,-1
612,1,1,3,2,5
613,1,3,3,1,6
614,1,2,2,2,5
615,1,1,3,1,4
616,1,1,3,1,4
617,1,1,3,1,4
618,1,1,3,1,-1
619,1,1,3,1,7
620,1,1,3,1,8
621,2,2,3,1,7
622,3,2,3,2,9
623,4,2,3,1,8
624,5,2,3,1,7
625,6,2,3,1,7
626,1,1,3,1,8
627,1,1,3,1,7
628,1,1,3,1,4
629,1,1,3,1,7
630,1,1,3,2,6
631,1,1,3,1,7
632,1,3,3,2,3
633,2,3,3,2,3
634,1,1,3,1,6
635,1,3,3,2,5
636,1,1,2,1,5
637,1,1,3,1,7
638,1,2,3,2,-1
639,2,2,3,-1,-1
640,3,2,3,-1,-1
641,1,1,3,-1,7
642,1,1,3,1,7
643,1,1,3,-1,9
644,1,1,3,2,8
645,1,3,3,2,4
646,1,1,3,1,7
647,1,1,3,2,8
648,1,1,3,1,6
649,2,2,3,1,8
650,3,2,3,1,7
651,1,1,3,1,5
652,1,1,3,1,6
653,1,1,3,-1,5
654,1,1,3,2,6
655,1,1,3,1,5
656,1,1,3,2,6
657,1,1,3,1,8
658,1,1,3,2,6
659,1,1,3,1,8
660,2,2,3,1,6
661,3,2,3,1,6
662,1,2,3,1,3
663,1,1,3,1,6
664,1,1,3,1,4
665,1,3,1,1,9
666,1,1,3,-1,6
667,1,1,2,1,8
668,1,2,3,1,-1
669,1,1,3,1,6
670,1,1,3,1,8
671,1,1,3,1,4
672,1,1,2,2,6
673,1,1,3,2,5
674,1,1,3,1,7
675,1,3,3,2,6
676,1,1,3,1,10
677,1,1,3,1,7
678,1,1,2,1,6
679,1,1,3,1,8
680,1,3,2,2,5
681,2,3,3,2,-1
682,1,3,3,1,7
683,1,1,2,1,5
684,1,3,2,1,11
685,1,2,3,2,6
686,1,1,3,2,7
687,2,2,3,2,8
688,1,1,2,1,5
689,1,3,3,1,8
690,1,1,3,1,8
691,1,1,3,1,7
692,2,2,3,1,6
693,1,1,3,1,4
694,2,2,3,2,10
695,1,1,3,1,6
696,1,1,3,1,6
697,1,1,3,1,6
698,1,1,3,1,4
699,1,1,2,1,4
700,1,1,3,2,6
701,1,1,3,1,9
702,1,1,3,1,6
703,1,1,3,2,7
704,1,2,3,1,7
705,1,3,3,2,7
706,1,3,3,1,10
707,1,1,3,1,7
708,1,1,3,1,6
709,2,2,3,1,4
710,1,3,3,2,9
711,1,3,2,1,6
712,1,1,3,1,6
713,1,1,3,1,6
714,1,1,3,2,6
715,1,1,3,1,6
716,1,2,3,2,6
717,1,1,3,2,5
718,1,1,3,2,7
719,1,1,2,1,4
720,1,1,3,2,8
721,1,1,3,2,7
722,1,1,3,2,6
723,1,1,3,1,6
724,1,1,3,1,7
725,1,1,3,1,8
726,1,1,3,1,6
727,1,1,3,1,4
728,1,1,3,2,7
729,1,1,2,1,7
730,1,2,3,2,9
731,1,3,3,2,9
732,1,1,3,1,6
733,1,3,2,1,6
734,1,1,3,1,5
735,2,2,2,1,5
736,1,1,3,1,5
737,1,1,3,1,7
738,1,1,3,1,6
739,1,1,3,1,7
740,1,1,3,1,6
741,1,1,3,1,6
742,1,1,2,1,6
743,2,1,2,1,9
744,1,1,2,1,6
745,2,2,2,2,6
746,1,2,3,2,5
747,2,1,3,1,7
748,1,1,2,1,7
749,1,2,3,1,5
750,1,1,3,1,5
751,1,1,3,1,8
752,1,3,3,1,3
753,1,1,3,1,5
754,2,1,3,1,7
755,1,1,3,2,9
756,2,2,3,-1,-1
757,1,1,3,1,6
758,1,1,3,1,6
759,1,1,3,1,6
760,1,2,3,2,8
761,1,1,3,1,9
762,1,1,3,1,7
763,1,1,3,2,6
764,2,2,3,2,7
765,3,2,3,1,4
766,1,1,3,2,6
767,1,3,2,2,11
768,1,1,3,1,7
769,1,1,3,1,7
770,1,1,3,1,9
771,1,3,3,2,8
772,1,1,3,1,6
773,2,2,2,2,6
774,1,1,3,2,6
775,1,1,3,2,8
776,1,1,3,1,6
777,2,2,3,-1,-1
778,1,1,3,1,5
779,1,1,2,1,8
780,1,1,3,1,7
781,2,2,3,1,8
782,3,2,3,1,2
783,4,2,3,2,2
784,1,2,3,2,10
785,1,1,3,1,4
786,1,1,3,1,7
787,1,1,3,2,6
788,1,1,3,1,4
789,2,1,3,1,5
790,1,1,3,1,9
791,1,1,3,1,4
792,1,1,3,1,4
793,1,1,3,1,7
794,1,1,3,1,6
795,1,1,3,1,6
796,1,1,3,1,6
797,1,1,2,1,10
798,1,1,3,1,5
799,1,1,3,2,4
800,1,3,2,1,6
801,1,3,3,1,6
802,1,1,3,2,7
803,1,1,3,1,5
804,1,3,2,2,8
805,1,1,3,1,7
806,1,1,3,1,7
807,1,1,3,1,6
808,1,1,3,1,7
809,1,1,3,1,7
810,1,3,3,2,6
811,1,1,3,1,6
812,1,1,2,1,6
813,1,1,3,1,7
814,1,1,3,1,7
815,1,3,3,2,6
816,1,3,3,2,8
817,1,1,3,2,6
818,1,1,2,1,7
819,1,1,3,-1,7
820,1,1,2,1,6
821,1,2,3,2,7
822,2,1,3,2,8
823,1,3,3,1,8
824,1,1,3,1,6
825,1,1,3,1,7
826,1,1,3,1,7
827,1,1,3,1,8
828,1,1,3,2,6
829,1,1,3,2,8
830,1,3,2,2,7
831,1,1,3,1,6
832,1,3,3,2,9
833,1,1,3,2,11
834,1,2,3,1,10
835,1,1,3,-1,6
836,1,1,3,1,5
837,1,3,2,1,10
838,1,1,3,2,9
839,1,2,3,1,8
840,2,2,3,2,7
841,3,2,3,2,8
842,1,1,3,2,6
843,1,1,3,1,7
844,1,2,3,2,7
845,1,3,3,1,2
846,1,1,3,2,6
847,2,2,3,1,5
848,3,1,3,2,6
849,4,2,3,1,1
850,1,2,3,2,8
851,1,1,3,1,8
852,1,1,2,1,6
853,1,1,3,1,6
854,1,1,3,1,5
855,1,3,3,1,6
856,1,1,3,2,9
857,1,1,3,1,4
858,2,2,3,-1,-1
859,1,1,3,2,7
860,2,2,3,-1,-1
861,1,2,3,1,5
862,1,1,3,1,5
863,2,1,3,2,8
864,1,1,3,1,6
865,1,2,3,2,8
866,1,1,3,1,6
867,2,3,3,1,6
868,1,2,3,2,7
869,1,1,3,1,6
870,2,2,3,1,7
871,1,1,3,1,6
872,1,3,3,1,6
873,1,1,3,1,5
874,1,1,3,1,8
875,1,1,3,1,6
876,1,1,3,2,7
877,2,2,3,-1,-1
878,1,1,3,1,5
879,1,1,3,1,6
880,1,1,3,2,7
881,1,1,3,2,8
882,1,3,3,2,11
883,1,1,3,2,5
884,1,1,3,1,6
885,1,1,3,1,6
886,1,1,3,1,6
887,1,1,3,-1,7
888,1,3,3,2,6
889,1,3,3,1,5
890,1,1,3,1,7
891,1,1,3,1,6
892,1,1,3,2,6
893,1,1,3,1,8
894,1,1,3,2,6
895,1,1,3,2,8
896,1,1,3,1,6
897,1,1,3,1,5
898,1,3,3,2,4
899,1,3,2,2,11
900,1,1,3,1,7
901,1,1,3,1,7
902,1,3,3,2,-1
903,1,1,3,1,9
904,1,1,3,1,6
905,1,1,3,2,7
906,1,1,3,1,6
907,1,3,2,1,4
908,1,1,3,1,6
909,1,1,3,1,6
910,1,1,3,1,7
911,1,1,3,1,6
912,1,3,3,2,7
913,1,1,3,1,7
914,1,3,3,2,7
915,1,3,3,2,8
916,2,3,3,1,10
917,1,3,3,2,7
918,1,3,3,1,-1
919,1,1,3,1,4
920,1,1,3,1,7
921,1,1,3,1,7
922,1,2,3,2,9
923,1,3,3,2,4
924,1,1,2,2,7
925,1,3,3,2,5
926,2,1,3,1,6
927,1,2,3,1,8
928,1,1,3,2,10
929,2,1,3,2,7
930,1,3,3,1,3
931,1,2,3,1,11
932,1,3,1,2,9
933,1,1,3,1,6
934,1,1,3,2,6
935,1,1,3,1,7
936,1,3,3,2,-1
937,1,1,3,1,6
938,1,1,3,1,5
939,1,1,3,2,7
940,1,1,3,1,6
941,1,1,3,1,6
942,1,3,3,1,10
943,1,3,3,2,7
944,1,1,3,1,7
945,1,1,3,1,6
946,1,1,3,1,5
947,1,3,2,1,8
948,1,1,3,1,6
949,1,3,2,1,3
950,1,1,3,2,9
951,1,1,3,2,9
952,1,1,3,-1,7
953,1,1,2,1,7
954,1,1,3,1,6
955,1,1,3,1,6
956,1,3,2,1,9
957,1,1,3,1,6
958,1,1,3,1,8
959,1,1,3,1,4
960,1,1,3,2,5
961,1,1,3,1,7
962,1,1,3,1,7
963,1,1,3,1,6
964,1,3,3,1,3
965,1,1,3,1,8
966,1,1,3,2,6
967,1,3,3,1,7
968,1,1,3,1,6
969,1,3,3,2,5
970,1,1,2,1,7
971,1,1,3,1,6
972,1,3,2,2,6
973,1,1,3,1,6
974,1,1,3,2,7
975,2,2,3,-1,-1
976,1,1,3,2,8
977,2,2,3,-1,-1
978,1,1,3,1,6
979,1,3,3,2,8
980,1,1,3,1,5
981,1,3,2,1,6
982,1,1,3,2,6
983,1,1,3,1,8
984,1,2,3,2,5
985,1,3,2,2,9
986,1,2,3,2,1
987,1,3,3,2,9
988,1,3,3,2,6
989,1,1,3,1,6
990,1,1,3,1,6
991,1,3,3,2,6
992,1,1,3,1,7
993,1,3,3,2,6
994,1,1,3,1,8
995,1,1,2,1,7
996,1,1,3,1,7
997,1,3,2,2,9
998,1,1,3,1,6
999,1,2,2,1,4
1000,1,1,2,2,9
1001,1,1,3,2,6
1002,2,1,3,1,6
1003,3,2,2,1,6
1004,1,1,3,-1,5
1005,1,1,3,-1,6
1006,1,2,3,2,7
1007,1,1,3,2,10
1008,1,1,3,1,5
1009,1,1,3,2,7
1010,1,1,3,1,8
1011,1,2,3,2,-1
1012,1,3,3,2,7
1013,1,1,2,1,6
1014,1,3,2,2,8
1015,1,1,3,1,7
1016,1,1,3,2,8
1017,1,2,3,2,2
1018,1,2,3,2,1
1019,1,3,1,1,11
1020,1,1,3,2,6
1021,1,1,3,2,6
1022,1,1,2,1,8
1023,1,1,3,1,6
1024,1,1,3,1,5
1025,1,2,3,2,6
1026,1,1,2,1,4
1027,2,3,2,2,7
1028,1,3,3,2,4
1029,1,3,3,2,11
1030,1,3,2,2,11
1031,1,1,3,-1,7
1032,1,3,3,1,6
1033,1,1,3,1,7
1034,1,1,3,2,8
1035,2,2,3,-1,-1
1036,1,1,3,1,6
1037,1,3,3,2,-1
1038,1,1,3,1,6
1039,1,2,3,1,11
1040,1,1,3,1,6
1041,1,1,3,1,6
1042,1,1,3,1,6
1043,1,2,3,2,5
1044,2,1,3,1,8
1045,1,1,3,2,4
1046,1,3,2,1,10
1047,1,1,3,2,6
1048,1,1,3,1,8
1049,2,2,3,1,-1
1050,1,3,3,2,6
1051,1,1,3,1,5
1052,1,1,3,1,6
1053,1,3,2,2,8
1054,1,1,3,1,4
1055,1,1,3,1,5
1056,1,1,3,1,7
1057,1,1,3,1,7
1058,1,1,3,2,9
1059,1,3,2,1,8
1060,1,3,3,2,9
1061,1,1,3,2,9
1062,1,1,3,1,4
1063,1,1,3,1,7
1064,2,2,3,1,5
1065,3,2,3,2,5
1066,4,1,3,2,8
1067,1,1,3,1,11
1068,1,3,2,1,5
1069,1,2,3,2,-1
1070,1,1,3,2,5
1071,1,1,3,1,8
1072,1,2,3,2,6
1073,1,1,3,2,7
1074,1,1,2,1,5
1075,1,1,2,1,6
1076,1,3,3,1,3
1077,1,1,3,1,6
1078,1,1,2,1,5
1079,1,3,3,2,4
1080,1,1,3,1,9
1081,1,1,2,1,7
1082,2,2,3,1,6
1083,3,1,2,1,7
1084,1,1,3,1,4
1085,1,1,3,1,6
1086,1,3,3,1,6
1087,1,3,3,1,6
1088,1,1,3,1,9
1089,1,1,3,-1,6
1090,1,1,3,2,7
1091,1,1,3,2,6
1092,1,1,3,1,7
1093,1,1,3,1,7
1094,1,1,3,1,9
1095,1,1,2,1,7
1096,1,1,3,2,9
1097,1,1,3,1,6
1098,1,3,3,2,10
1099,1,1,3,-1,6
1100,1,1,3,1,7
1101,1,3,2,-1,3
1102,1,1,3,-1,5
1103,1,1,3,2,5
1104,1,3,3,2,4
1105,1,1,3,2,8
1106,1,1,3,1,6
1107,1,3,2,2,6
1108,1,1,2,2,8
1109,1,1,3,1,7
1110,2,2,3,2,7
1111,1,1,3,1,7
1112,1,2,3,2,11
1113,1,1,3,1,6
1114,1,1,3,1,8
1115,1,1,3,2,8
1116,1,2,3,1,4
1117,1,1,3,1,6
1118,1,1,3,2,9
1119,1,2,3,1,3
1120,1,1,3,-1,6
1121,1,1,3,1,4
1122,1,1,3,2,5
1123,1,1,3,1,8
1124,1,3,3,2,3
1125,1,3,3,1,3
1126,1,1,3,1,7
1127,1,1,3,2,7
1128,1,1,2,1,6
1129,1,2,3,2,10
1130,2,1,3,1,-1
1131,1,1,3,1,6
1132,1,2,3,2,10
1133,1,1,3,1,6
1134,1,3,3,2,11
1135,1,1,3,2,6
